condition,task_id,seed,initial_state_id,success_at_280,success_step,executed_env_steps,wall_time_to_terminal_s,model_invocations,model_inference_time_s,range_violations,range_clips,buffer_discards,mean_actual_horizon,termination_reason,git_sha,resolved_config_path
Static-H1,0,1000,0,False,,280,167.81649285300023,280,98.973411558002,38,38,0,1.0,max_steps,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,0,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,0,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,0,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,0,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,1,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,1,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,1,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,1,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,1,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,2,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,2,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,2,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,2,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,2,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,3,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,3,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,3,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,3,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,3,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,4,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,4,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,4,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,4,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,4,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,5,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,5,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,5,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,5,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,5,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,6,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,6,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,6,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,6,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,6,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,7,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,7,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,7,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,7,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,7,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,8,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,8,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,8,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,8,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,8,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,9,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,9,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,9,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,9,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H1,9,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,0,1000,0,False,,280,76.989823979,56,18.912612608000927,19,19,0,5.0,max_steps,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,0,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,0,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,0,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,0,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,1,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,1,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,1,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,1,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,1,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,2,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,2,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,2,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,2,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,2,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,3,1000,0,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,3,1001,1,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,3,1002,2,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,3,1003,3,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
Static-H5,3,1004,4,,,,,,,,,,,not_started_dry_run,fd2db7315cd7b62d049ad78a8a7aa4b7d84f4500,/mnt/d/VLA/msc26-vla/runs/pilot-dry-run/resolved_config.json
